"Transporteur","Offre","Départ","Arrivée","Type de poids

WEIGHT_BASED - le poids est le poids réel

VOLUME_BASED - le poids volumétrique est appliqué. Voir https://help.boxtal.com/fr/fr/article/understanding-volumetric-weight","De 1 g à 250 g

prix minimal pour la tranche (euros HT)","De 251 g à 500 g

prix minimal pour la tranche (euros HT)","De 501 g à 1 kg

prix minimal pour la tranche (euros HT)","De 1.001 kg à 2 kg

prix minimal pour la tranche (euros HT)","De 2.001 kg à 3 kg

prix minimal pour la tranche (euros HT)","De 3.001 kg à 5 kg

prix minimal pour la tranche (euros HT)","De 5.001 kg à 7 kg

prix minimal pour la tranche (euros HT)","De 7.001 kg à 10 kg

prix minimal pour la tranche (euros HT)","De 10.001 kg à 15 kg

prix minimal pour la tranche (euros HT)","De 15.001 kg à 20 kg

prix minimal pour la tranche (euros HT)","De 20.001 kg à 30 kg

prix minimal pour la tranche (euros HT)","À partir de 30.001 kg

prix minimal pour la tranche (euros HT)","De 1 g à 250 g

prix maximal pour la tranche (euros HT)","De 251 g à 500 g

prix maximal pour la tranche (euros HT)","De 501 g à 1 kg

prix maximal pour la tranche (euros HT)","De 1.001 kg à 2 kg

prix maximal pour la tranche (euros HT)","De 2.001 kg à 3 kg

prix maximal pour la tranche (euros HT)","De 3.001 kg à 5 kg

prix maximal pour la tranche (euros HT)","De 5.001 kg à 7 kg

prix maximal pour la tranche (euros HT)","De 7.001 kg à 10 kg

prix maximal pour la tranche (euros HT)","De 10.001 kg à 15 kg

prix maximal pour la tranche (euros HT)","De 15.001 kg à 20 kg

prix maximal pour la tranche (euros HT)","De 20.001 kg à 30 kg

prix maximal pour la tranche (euros HT)","À partir de 30.001 kg

prix maximal pour la tranche (euros HT)","De 1 g à 250 g

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 251 g à 500 g

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 501 g à 1 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 1.001 kg à 2 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 2.001 kg à 3 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 3.001 kg à 5 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 5.001 kg à 7 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 7.001 kg à 10 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 10.001 kg à 15 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 15.001 kg à 20 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 20.001 kg à 30 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","À partir de 30.001 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)"
"Chronopost","Chrono 13","Point de dépôt","Domicile","VOLUME_BASED","12.88","12.88","12.88","12.88","13.02","13.02","13.41","14.2","15.37","17.34","19.3","23.23","42.46","42.46","42.46","42.46","42.59","42.59","43.37","44.55","46.52","48.48","52.4","64.18","42.46","42.46","42.46","42.46","42.59","42.59","43.37","44.55","46.52","48.48","52.4","64.18"
"Chronopost","Chrono 13 collecte","Domicile","Domicile","VOLUME_BASED","15.04","15.04","15.04","15.04","15.18","15.18","15.57","16.38","17.56","19.55","21.54","25.51","44.98","44.98","44.98","44.98","45.11","45.11","45.9","47.1","49.09","51.08","55.04","66.97","44.98","44.98","44.98","44.98","45.11","45.11","45.9","47.1","49.09","51.08","55.04","66.97"
"Chronopost","Chrono 18","Point de dépôt","Domicile","VOLUME_BASED","9.93","9.93","9.93","9.93","11.41","11.41","13.32","14.26","15.44","17.41","19.38","23.58","38.68","38.68","38.68","38.68","41.23","41.23","43.79","44.74","46.71","48.68","52.61","72.32","38.68","38.68","38.68","38.68","41.23","41.23","43.79","44.74","46.71","48.68","52.61","72.32"
"Chronopost","Chrono18 boîte aux lettres","Point de dépôt","Domicile","WEIGHT_BASED","8.73","8.73","8.73","8.73","37.87","37.87","37.87","37.87","37.87","37.87","37.87","37.87",,,,,,,,,,,,,,,,,,,,,,,,
"Chronopost","Chrono 18 collecte","Domicile","Domicile","VOLUME_BASED","12.09","12.09","12.09","12.09","13.6","13.6","15.58","16.32","17.5","19.48","21.46","25.69","41.28","41.28","41.28","41.28","43.9","43.9","46.67","46.93","48.92","50.9","54.85","74.64","41.28","41.28","41.28","41.28","43.9","43.9","46.67","46.93","48.92","50.9","54.85","74.64"
"Chronopost","Chrono 2Shop Direct","Point de dépôt","Point de retrait","WEIGHT_BASED","2.99","3.1","3.66","4.63","5.1","6.44","7.85","9.14","11.07","14.29","15.55","15.7","16.28","17.5","17.79","20.08","21.36","23.29","26.51","29.73","15.55","15.7","16.28","17.5","17.79","20.08","21.36","23.29","26.51","29.73",,,,,,
"Chronopost","Chrono 2ShopDirect Retour","Point de dépôt","Domicile","WEIGHT_BASED","4.59","4.59","4.63","5.12","5.57","6.45","8.04","9.64","12.03","16.02","","","","","","7.25","8.84","11.24","15.23","19.21","4.59","4.59","4.63","5.12","5.57","7.25","8.84","11.24","15.23","19.21",,,,,,
"Chronopost","Chrono Relais 13","Point de dépôt","Point de retrait","VOLUME_BASED","5.92","5.92","5.92","6.89","7.48","8.18","9.57","10.96","13.04","16.52","20","26.96","33.2","33.2","33.2","34.18","34.76","36.15","37.55","39.63","43.12","46.6","53.56","74.44","33.2","33.2","33.2","34.18","34.76","36.15","37.55","39.63","43.12","46.6","53.56","74.44"
"Chronopost","Chrono Relais 13 collecte","Domicile","Point de retrait","VOLUME_BASED","7.92","7.92","7.92","8.89","9.48","10.18","11.57","12.96","15.04","18.52","22","28.96","35.2","35.2","35.2","36.18","36.76","38.15","39.55","41.63","45.12","48.6","55.56","76.44","35.2","35.2","35.2","36.18","36.76","38.15","39.55","41.63","45.12","48.6","55.56","76.44"
"Chronopost","Chrono Shop2Shop","Point de dépôt","Point de retrait","WEIGHT_BASED","2.99","3.1","3.66","4.63","5.1","6.44","7.85","9.14","11.07","14.29","15.55","15.7","16.28","17.5","17.79","20.08","21.36","23.29","26.51","29.73","15.55","15.7","16.28","17.5","17.79","20.08","21.36","23.29","26.51","29.73",,,,,,
