"Transporteur","Offre","Départ","Arrivée","Type de poids

WEIGHT_BASED - le poids est le poids réel

VOLUME_BASED - le poids volumétrique est appliqué. Voir https://help.boxtal.com/fr/fr/article/understanding-volumetric-weight","De 1 g à 250 g

prix minimal pour la tranche (euros HT)","De 251 g à 500 g

prix minimal pour la tranche (euros HT)","De 501 g à 1 kg

prix minimal pour la tranche (euros HT)","De 1.001 kg à 2 kg

prix minimal pour la tranche (euros HT)","De 2.001 kg à 3 kg

prix minimal pour la tranche (euros HT)","De 3.001 kg à 5 kg

prix minimal pour la tranche (euros HT)","De 5.001 kg à 7 kg

prix minimal pour la tranche (euros HT)","De 7.001 kg à 10 kg

prix minimal pour la tranche (euros HT)","De 10.001 kg à 15 kg

prix minimal pour la tranche (euros HT)","De 15.001 kg à 20 kg

prix minimal pour la tranche (euros HT)","De 20.001 kg à 30 kg

prix minimal pour la tranche (euros HT)","À partir de 30.001 kg

prix minimal pour la tranche (euros HT)","De 1 g à 250 g

prix maximal pour la tranche (euros HT)","De 251 g à 500 g

prix maximal pour la tranche (euros HT)","De 501 g à 1 kg

prix maximal pour la tranche (euros HT)","De 1.001 kg à 2 kg

prix maximal pour la tranche (euros HT)","De 2.001 kg à 3 kg

prix maximal pour la tranche (euros HT)","De 3.001 kg à 5 kg

prix maximal pour la tranche (euros HT)","De 5.001 kg à 7 kg

prix maximal pour la tranche (euros HT)","De 7.001 kg à 10 kg

prix maximal pour la tranche (euros HT)","De 10.001 kg à 15 kg

prix maximal pour la tranche (euros HT)","De 15.001 kg à 20 kg

prix maximal pour la tranche (euros HT)","De 20.001 kg à 30 kg

prix maximal pour la tranche (euros HT)","À partir de 30.001 kg

prix maximal pour la tranche (euros HT)","De 1 g à 250 g

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 251 g à 500 g

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 501 g à 1 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 1.001 kg à 2 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 2.001 kg à 3 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 3.001 kg à 5 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 5.001 kg à 7 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 7.001 kg à 10 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 10.001 kg à 15 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 15.001 kg à 20 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 20.001 kg à 30 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","À partir de 30.001 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)"
"Chronopost","Chrono 2Shop Europe","Point de dépôt","Point de retrait","WEIGHT_BASED","4.05","4.05","4.17","4.54","7.5","8.24","9.73","11.22","13.46","17.19","","","","","","8.99","10.48","12.72","16.44","20.17","4.05","4.05","4.17","4.54","7.5","8.99","10.48","12.72","16.44","20.17",,,,,,
"Chronopost","Chrono Classic","Point de dépôt","Domicile","WEIGHT_BASED","12.3","12.3","12.3","13.48","14.67","15.86","18.22","20.59","24.14","30.06","35.98","","","","","","17.03","19.4","22.95","28.87","34.79","46.63","16.74","16.74","16.74","17.93","19.11","21.47","23.85","27.39","33.31","39.23","51.07",,,
"Chronopost","Chrono Classic collecte","Domicile","Domicile","WEIGHT_BASED","14.3","14.3","14.3","15.48","16.67","17.86","20.22","22.59","26.14","32.06","37.98","","","","","","19.03","21.4","24.95","30.87","36.79","48.63","18.74","18.74","18.74","19.93","21.11","23.47","25.85","29.39","35.31","41.23","53.07",,,
"Chronopost","Chrono Express","Point de dépôt","Domicile","VOLUME_BASED","18.25","18.25","22.4","25.27","29.59","33.93","42.61","51.29","64.6","89.31","114.51","173.66","","","","27.43","31.77","40.45","49.11","62.12","86.85","111.56","170.71","348.12","18.25","18.25","22.4","27.43","31.77","40.45","49.11","62.12","86.85","111.56","170.71","348.12"
"Chronopost","Chrono Express collecte","Domicile","Domicile","VOLUME_BASED","20.25","20.25","24.4","27.27","31.59","35.93","44.61","53.29","66.6","91.31","116.51","175.66","","","","29.43","33.77","42.45","51.11","64.12","88.85","113.56","172.71","350.12","20.25","20.25","24.4","29.43","33.77","42.45","51.11","64.12","88.85","113.56","172.71","350.12"
"Chronopost","Chrono Relais Europe","Point de dépôt","Point de retrait","VOLUME_BASED","11.72","11.72","11.72","12.48","13.26","14.02","15.54","17.07","19.35","23.16","26.99","34.61","","","","","","14.78","16.31","18.59","22.4","26.23","33.85","56.73","15.81","15.81","15.81","16.57","17.34","18.86","20.4","22.68","26.49","30.3","37.93","60.82"
"Delivengo","Delivengo easy","Point de dépôt","Domicile","WEIGHT_BASED","8.45","9.9","11.5","16.45","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
"Happy Post","Happy Post avec Suivi sans Signature","Point de dépôt","Domicile","WEIGHT_BASED","9.94","9.94","10.18","11.15","12.13","13.11","15.07","17.03","19.45","24.87","29.25","","","","","","14.1","16.05","18.98","23.89","28.78","31.14","","","","","","","","","","","",,,
"Mondial Relay","Mondial Points Relais - Europe","Point de dépôt","Point de retrait","WEIGHT_BASED","3.55","3.55","4.33","7.02","7.39","7.39","11.47","11.94","17.38","18.17","19.1","","","","","","11.47","","","","","20.29","","","","","","","","","","","",,,
"Mondial Relay","Mondial Domicile Europe","Point de dépôt","Domicile","WEIGHT_BASED","8.94","8.94","9.12","10.78","12.59","12.6","17.39","19.49","24.54","29.85","32.48","","","","","","","","","","","","","","","","","","","","","","",,,
"Colissimo","Colissimo International Domicile - sans signature","Point de dépôt","Domicile","WEIGHT_BASED","8.55","8.65","10.57","11.35","12.2","12.98","14.53","16.09","20.55","25.05","30.16","","","10.59","","","13.76","15.11","17.64","22.13","26.55","35.46","15.98","16.07","18.03","18.79","19.62","21.18","22.54","25.07","29.56","33.99","42.89",,,
"Colissimo","Colissimo International Domicile - avec signature","Point de dépôt","Domicile","WEIGHT_BASED","9.03","9.13","11.07","11.85","12.69","13.46","15.02","16.57","21.05","25.53","30.63","","","11.08","","","14.24","15.6","18.13","22.61","27.05","35.96","16.46","16.56","18.51","19.27","20.12","21.67","23.04","25.56","30.05","34.48","43.39",,,
"Colissimo","Colissimo International Point Retrait","Point de dépôt","Point de retrait","WEIGHT_BASED","6.61","6.91","7.88","9.62","10.46","10.94","11.91","12.89","16.68","22.82","","","8.85","","","11.43","12.4","13.86","20.38","24.82","","","","","","","","","","",,,,,,
"Sodexi","Sodexi Express International","Domicile","Domicile","VOLUME_BASED","81.84","81.84","81.84","84.15","88.1","92.64","102.24","111.41","127.78","150.58","173.46","276.61","","","","86.53","91.07","100.3","109.45","123.19","146.01","168.92","268.25","2231.61","130.93","130.93","130.93","135.62","140.15","149.38","158.54","172.28","195.09","218.01","268.25","2231.61"
