"Transporteur","Offre","Départ","Arrivée","Type de poids

WEIGHT_BASED - le poids est le poids réel

VOLUME_BASED - le poids volumétrique est appliqué. Voir https://help.boxtal.com/fr/fr/article/understanding-volumetric-weight","De 1 g à 250 g

prix minimal pour la tranche (euros HT)","De 251 g à 500 g

prix minimal pour la tranche (euros HT)","De 501 g à 1 kg

prix minimal pour la tranche (euros HT)","De 1.001 kg à 2 kg

prix minimal pour la tranche (euros HT)","De 2.001 kg à 3 kg

prix minimal pour la tranche (euros HT)","De 3.001 kg à 5 kg

prix minimal pour la tranche (euros HT)","De 5.001 kg à 7 kg

prix minimal pour la tranche (euros HT)","De 7.001 kg à 10 kg

prix minimal pour la tranche (euros HT)","De 10.001 kg à 15 kg

prix minimal pour la tranche (euros HT)","De 15.001 kg à 20 kg

prix minimal pour la tranche (euros HT)","De 20.001 kg à 30 kg

prix minimal pour la tranche (euros HT)","À partir de 30.001 kg

prix minimal pour la tranche (euros HT)","De 1 g à 250 g

prix maximal pour la tranche (euros HT)","De 251 g à 500 g

prix maximal pour la tranche (euros HT)","De 501 g à 1 kg

prix maximal pour la tranche (euros HT)","De 1.001 kg à 2 kg

prix maximal pour la tranche (euros HT)","De 2.001 kg à 3 kg

prix maximal pour la tranche (euros HT)","De 3.001 kg à 5 kg

prix maximal pour la tranche (euros HT)","De 5.001 kg à 7 kg

prix maximal pour la tranche (euros HT)","De 7.001 kg à 10 kg

prix maximal pour la tranche (euros HT)","De 10.001 kg à 15 kg

prix maximal pour la tranche (euros HT)","De 15.001 kg à 20 kg

prix maximal pour la tranche (euros HT)","De 20.001 kg à 30 kg

prix maximal pour la tranche (euros HT)","À partir de 30.001 kg

prix maximal pour la tranche (euros HT)","De 1 g à 250 g

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 251 g à 500 g

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 501 g à 1 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 1.001 kg à 2 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 2.001 kg à 3 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 3.001 kg à 5 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 5.001 kg à 7 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 7.001 kg à 10 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 10.001 kg à 15 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 15.001 kg à 20 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","De 20.001 kg à 30 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)","À partir de 30.001 kg

prix maximal envoi non mécanisable pour la tranche (euros HT)"
"Chronopost","Chrono 2Shop Europe","Point de dépôt","Point de retrait","WEIGHT_BASED","5.79","5.79","6.05","6.42","9.29","10.04","11.56","13.07","15.33","19.11","","","","","","10.8","12.31","14.58","18.36","22.14","5.79","5.79","6.05","6.42","9.29","10.8","12.31","14.58","18.36","22.14",,,,,,
"Chronopost","Chrono Classic","Point de dépôt","Domicile","WEIGHT_BASED","13.03","13.03","13.03","14.37","15.72","17.07","19.76","22.45","26.5","33.23","39.96","","","","","","18.41","21.1","25.14","31.88","38.61","52.08","17.47","17.47","17.47","18.81","20.16","22.85","25.54","29.59","36.32","43.06","56.52",,,
"Chronopost","Chrono Classic collecte","Domicile","Domicile","WEIGHT_BASED","15.03","15.03","15.03","16.37","17.72","19.07","21.76","24.45","28.5","35.23","41.96","","","","","","20.41","23.1","27.14","33.88","40.61","54.08","19.47","19.47","19.47","20.81","22.16","24.85","27.54","31.59","38.32","45.06","58.52",,,
"Chronopost","Chrono Express","Point de dépôt","Domicile","VOLUME_BASED","18.25","18.25","22.4","25.27","29.59","33.93","42.61","51.29","64.6","89.31","114.51","173.66","","","","27.43","31.77","40.45","49.11","62.12","86.85","111.56","170.71","348.12","18.25","18.25","22.4","27.43","31.77","40.45","49.11","62.12","86.85","111.56","170.71","348.12"
"Chronopost","Chrono Express collecte","Domicile","Domicile","VOLUME_BASED","20.25","20.25","24.4","27.27","31.59","35.93","44.61","53.29","66.6","91.31","116.51","175.66","","","","29.43","33.77","42.45","51.11","64.12","88.85","113.56","172.71","350.12","20.25","20.25","24.4","29.43","33.77","42.45","51.11","64.12","88.85","113.56","172.71","350.12"
"Chronopost","Chrono Relais Europe","Point de dépôt","Point de retrait","VOLUME_BASED","12.4","12.4","12.4","13.65","14.9","16.15","18.72","21.34","25.25","31.79","38.33","51.41","","","","","","17.41","20.03","23.94","30.48","37.02","50.1","89.32","16.48","16.48","16.48","17.73","18.99","21.49","24.1","28.03","34.57","41.11","54.18","93.41"
"Delivengo","Delivengo easy","Point de dépôt","Domicile","WEIGHT_BASED","8.45","9.9","11.5","16.45","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
"Happy Post","Happy Post avec Suivi sans Signature","Point de dépôt","Domicile","WEIGHT_BASED","10.96","10.96","11.36","12.64","13.93","16.79","20.15","22.74","29.2","36.25","42.28","","","","","","18.09","21.44","25.32","34.94","41.49","45.49","","","","","","","","","","","",,,
"Mondial Relay","Mondial Points Relais - Europe","Point de dépôt","Point de retrait","WEIGHT_BASED","5","5","6.15","7.85","9.21","9.21","12.69","13.21","20.08","20.08","21.12","","","","","","12.69","","","","","","","","","","","","","","","","",,,
"Colissimo","Colissimo International Domicile - avec signature","Point de dépôt","Domicile","WEIGHT_BASED","10.39","10.49","13.21","14.81","15.76","16.53","18.09","19.64","24.11","30.02","34.53","","","13.27","","","17.31","18.66","21.2","26.43","30.95","39.98","17.83","17.93","20.71","22.24","23.18","24.73","26.1","28.62","33.87","38.38","47.41",,,
